"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"828587","837973","848875","859662","867421","873593","878896","881299","882420","880508","874773","875944","868518","862774","859211","853343","849681","846350","842630","839998","837426",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3497863","3548941","3603447","3648995","3692366","3735068","3773369","3797370","3816577","3847737","3858559","3891853","3905247","3912770","3914378","3915976","3902690","3899049","3885561","3870780","3849590",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4158093","4198796","4228221","4245874","4255232","4265688","4290034","4315487","4341090","4379662","4409931","4447999","4466394","4489829","4514046","4526055","4535051","4546863","4543607","4532417","4512280",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6420756","6461962","6497069","6527980","6551534","6563652","6573716","6557164","6515718","6484319","6462862","6472181","6454726","6445578","6436042","6416751","6405454","6393455","6367058","6327501","6276873",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3199250","3245528","3282742","3314528","3344087","3373085","3407190","3436122","3456760","3474852","3485198","3507557","3512276","3522438","3531052","3535791","3544095","3553950","3558777","3560023","3553186",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1820658","1829292","1838799","1847680","1862995","1875988","1880250","1895017","1906094","1913654","1906828","1911611","1905288","1905037","1900626","1893175","1889617","1884602","1868527","1856417","1838867",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3587372","3622492","3658744","3691032","3725307","3761408","3802437","3834195","3854263","3876726","3876925","3887770","3878841","3874579","3872683","3872449","3867208","3863896","3852148","3840383","3827825",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"581735","586849","592739","600266","609336","617376","626665","634379","640317","643741","642669","645484","645150","647762","648892","650189","652410","655741","656429","657230","659902",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1084999","1093482","1102432","1112326","1121373","1131030","1140218","1146922","1154117","1163429","1166274","1173584","1176871","1180429","1184373","1186571","1190453","1191703","1192029","1190874","1189353",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1332961","1386142","1436436","1486302","1553003","1613635","1677837","1729458","1761916","1777844","1775184","1777630","1789549","1800829","1819041","1843208","1869255","1898271","1930317","1964105","1988057",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"815645","829596","842482","853339","862732","871900","880847","885319","887449","887724","886708","888930","888066","885228","886805","885137","885606","885629","883758","882553","880841",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5446201","5497404","5548686","5589579","5624888","5656242","5685811","5708838","5730101","5764197","5787520","5807502","5793963","5787317","5776578","5763186","5747213","5738198","5714210","5688339","5655704",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1159250","1170906","1191536","1211340","1232610","1252980","1274209","1292494","1302101","1315491","1320129","1327236","1323608","1320357","1311951","1306438","1302176","1295965","1290184","1288508","1287817",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12371672","12463305","12537246","12602765","12642372","12666779","12713912","12767539","12833143","12914972","12959427","13030799","13019241","13014796","12982743","12931243","12866614","12780063","12682616","12561148","12406903",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5347943","5431782","5509290","5565251","5659612","5760885","5902796","6028147","6145394","6228224","6198477","6253780","6272458","6305596","6341174","6390953","6453618","6514861","6566899","6611596","6649282",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"407753","409122","411239","414013","419957","422587","426310","429031","432197","437117","436412","444152","453218","466315","475625","484338","480726","477029","474974","473492","471335",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7292394","7326753","7362450","7395715","7423600","7450324","7476682","7493241","7496870","7506378","7505953","7516729","7480467","7472786","7461623","7446935","7431200","7417173","7390692","7360902","7316526",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2213641","2230525","2251731","2264412","2282290","2298683","2329004","2354090","2372900","2399314","2397111","2413921","2422816","2436164","2446109","2460249","2463926","2458055","2454198","2456172","2460809",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2241755","2275980","2314388","2342414","2360450","2394433","2436704","2472486","2498997","2521479","2531461","2553235","2556219","2558996","2572105","2596020","2638330","2663605","2673938","2682071","2687631",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7782164","7821272","7877738","7940565","7997963","8059144","8132431","8187091","8222204","8269581","8300521","8338126","8312505","8290110","8267886","8235448","8199750","8163293","8126120","8070120","8017152",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"676782","685062","694526","701461","707552","706909","707824","706335","705045","705529","702794","702838","701388","700093","699517","698153","696532","693363","691449","687238","682741",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2639507","2669574","2702593","2733858","2779863","2821564","2880673","2936853","2986450","3020357","3002544","3015526","3022198","3038881","3059657","3090026","3120080","3145511","3166183","3188862","3208493",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"470175","474248","478270","482768","488931","493650","498968","504373","508728","513486","515068","520197","525360","528837","529795","529804","532288","535640","535380","536621","536956",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3754176","3787586","3822318","3855258","3901288","3955594","4017140","4076748","4112269","4148145","4155927","4181364","4190242","4199866","4212182","4230893","4255936","4286724","4312075","4326221","4344724",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13611861","13896150","14171641","14407257","14662570","14924785","15305836","15616619","15913297","16218456","16371264","16650175","16874734","17104707","17387809","17692923","17958825","18178106","18359397","18564704","18775070",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1416070","1446162","1476010","1499082","1524476","1558645","1598627","1640654","1676180","1708368","1730102","1755654","1777053","1803740","1826899","1855583","1896326","1937332","1972790","2007271","2040312",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"402345","406311","410637","414050","417002","419600","421894","422507","422097","422130","420778","422196","418557","416320","413244","411215","407547","405047","401715","398525","395111",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4758895","4831084","4897191","4955172","5034791","5108277","5183514","5236966","5283520","5340470","5284761","5334569","5361823","5378628","5395311","5407887","5408988","5426221","5420980","5423224","5419784",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3903081","3973548","4035109","4079496","4137072","4200868","4286065","4347979","4412514","4473669","4469493","4510971","4536586","4553302","4595010","4649209","4720025","4791148","4836182","4874494","4909551",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1178217","1176999","1181991","1187794","1191061","1194924","1200632","1204008","1206034","1210701","1212427","1213506","1204296","1194726","1182918","1170401","1155570","1138497","1121987","1108358","1095997",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3462164","3498776","3538493","3573185","3605693","3636717","3665194","3689057","3704223","3720500","3727548","3739685","3732188","3731445","3727123","3719293","3711802","3705057","3696972","3686290","3671533",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"324602","326725","331874","335121","339399","343031","349216","356911","363146","371453","370173","371042","375464","377047","374243","373120","369470","363188","359683","358142","357276",,
"        Elderly (65+) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25707448","26220666","26787304","27360434","27877238","28415906","29007328","29625949","30123404","30681589","31247279","31811624","32355994","32901811","33330803","33769304","34143049","34401561","34619159","34797841","35069568","35290291","35522207","35863529","36203319","36649798","37164107","37825711","38777621","39623175","40478249","41350891","43132211","44632337","46161005","47655870","49208479","50757639","52354605","54036735","54826523","56229126","57794852"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"580880","583831","585605","590372","593826","602102","613080","622070","636944","649041","660842","672048","698085","719719","741992","762301","784005","805266","826980","851520","874244",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36106","37415","38868","40409","42148","43945","45600","47606","50322","52879","55574","58221","62444","66226","70004","74055","78299","82743","87083","91553","95876",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"671332","683233","696122","711684","730624","756532","780264","802967","832164","860446","889102","919756","969948","1013910","1060487","1108684","1157465","1207269","1259053","1315788","1373975",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"374504","374559","375271","377731","380130","384675","392551","398817","407566","414583","421546","427589","442374","453606","465694","476530","487556","498715","510600","523980","536306",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3608449","3651646","3692105","3745381","3783384","3839253","3872578","3947236","4056760","4164493","4273303","4391321","4589642","4766883","4948781","5135751","5308774","5476470","5645856","5819400","5976166",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"418286","425441","431797","440215","450063","461584","479066","494959","514135","534380","554418","575253","611325","643841","675937","707949","739767","772984","808286","843525","876387",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"470752","470976","471685","474250","474627","475419","476275","481540","492594","500465","508716","517216","535892","550156","563086","574960","587078","599999","615009","630705","645996",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102169","103436","105062","107054","109407","112079","115828","119205","123716","126751","130100","133764","140799","147514","154014","160375","167107","174204","181647","189455","197594",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69764","68845","68014","67372","66854","66602","65966","66232","66785","67800","69105","70171","72687","74987","77378","80028","82075","83757","85971","88132","89833",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2812155","2833799","2858125","2889234","2932310","2981087","3004334","3053176","3135004","3205715","3278288","3359788","3507418","3636396","3771382","3913735","4065350","4208703","4344845","4494096","4638094",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"788440","800019","812374","827656","842683","868555","905773","934987","972338","1006657","1041018","1075788","1138905","1194164","1248439","1301675","1354419","1406544","1461091","1519195","1574667",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"161115","163386","165453","167971","170467","174236","176807","179574","184461","190379","196623","203100","212163","221105","229772","238339","246437","254193","262144","269014","275080",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146458","148848","151825","155090","159061","164132","170746","176361","183178","189723","196132","201755","212004","221726","231538","241285","252471","264391","277088","290969","305994",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1500654","1501002","1498943","1505543","1511319","1517317","1523353","1542384","1569517","1592006","1615993","1641862","1702173","1751277","1799080","1843921","1892524","1940081","1989309","2042262","2089234",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"753812","756095","757957","764337","769237","776261","787437","799908","817632","830748","844274","856974","888883","914745","941979","966814","994614","1022513","1051723","1083913","1115285",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"436380","435764","434430","434724","435422","436059","438535","442183","446790","450126","453658","456720","469495","479032","489744","500447","512577","525035","537978","552212","566136",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"356528","355603","354384","354638","355746","356985","359408","362512","367325","372103","377067","381275","394004","404254","414687","424972","436442","448130","460548","474916","488316",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"505595","507157","508618","513734","518769","527867","538285","548046","560662","570538","580394","590308","614533","634034","654692","672720","691589","710274","729357","750341","770835",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"517719","518900","521544","525739","529249","534941","515760","524996","537863","549142","560778","571831","596156","614920","634526","655234","677471","697798","718844","742100","763750",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"183713","185166","186668","188240","189805","191380","194447","198004","203338","207670","211965","216001","226049","234775","243281","250219","258426","266818","276367","285201","293776",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"601443","608552","614959","622996","630505","638506","646320","658553","678258","694983","711947","729721","764533","793163","821871","848486","876152","902790","931509","960251","987352",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"860898","857347","855012","853629","850906","850015","851232","860183","877174","891686","906579","921995","959460","990253","1020694","1048396","1077025","1105663","1136418","1167764","1198402",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1221299","1226259","1230163","1238574","1247043","1255266","1269443","1291238","1321021","1343623","1366274","1388638","1443150","1487694","1531387","1571926","1617681","1664648","1712438","1763191","1812441",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"595382","598871","602842","608570","614219","619771","630406","642312","658825","672489","686332","699115","728111","752842","777660","802184","829903","858654","888740","919312","948841",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"344018","344562","345400","347927","351320","356199","358197","362956","370316","375968","382130","388608","403244","414564","426302","437745","449375","461250","472835","486498","499955",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"756231","758184","759462","763370","767548","773936","784612","796345","812335","826976","841282","852849","883400","908161","932800","955698","981069","1006404","1032298","1061684","1089714",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121288","122525","123796","125295","127276","129431","132782","136015","140331","143927","147444","150516","157414","163381","169645","176112","183237","190518","198180","205860","213392",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"232430","232281","232199","231998","232130","233426","235236","237722","240748","244132","247306","249331","257389","263412","270860","278142","286329","294155","302009","311255","319437",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221598","231793","241638","252763","263722","271743","280415","290756","303018","315223","327117","339461","361038","380499","400192","420019","438593","457065","476745","497682","519316",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148381","149276","150627","152341","155869","157699","161873","166079","171358","175269","179395","184372","194580","203541","212384","219396","227297","235778","244420","253514","263129",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1114370","1114854","1115874","1118550","1119300","1120653","1124576","1135519","1157905","1173621","1190520","1210183","1254201","1286496","1317497","1347449","1379116","1409182","1442181","1476183","1510028",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"213323","217399","221303","225924","230396","237019","244332","250773","258374","266217","274097","281678","294438","305929","317263","328829","340352","352662","365226","377791","389911",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2453462","2462827","2472398","2480995","2488224","2494128","2492228","2517548","2559269","2592210","2628848","2671884","2767575","2844860","2923594","2998172","3073002","3148181","3224727","3301115","3369569",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"972487","986276","1001183","1019015","1036542","1058620","1096825","1129289","1170697","1206650","1243221","1278449","1345273","1402743","1459294","1513249","1569811","1628263","1689490","1752264","1814542",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94585","94245","93991","93768","94309","93956","94382","94728","95785","96572","97646","98473","100782","102614","104681","107067","109791","113234","116641","120028","123141",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1509407","1509931","1511762","1519056","1522292","1527229","1541165","1561113","1589129","1607723","1625958","1644587","1703911","1751526","1800284","1843499","1891306","1940355","1989466","2044002","2097638",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"456570","457261","457785","459980","463093","466769","475047","481361","490235","499651","509115","515775","533854","547676","561224","574748","589266","603543","618835","636199","653159",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"438982","442433","447975","454143","461454","470082","481720","493302","508044","522740","536859","550899","578591","602600","628140","654314","681767","708892","736494","764394","789527",,
