"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"    Region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Northeast (People)","21059000","21401000","21815000","22248000","22716000","23214000","23769000","24320000","24879000","25440000","25958000","26338000","26746000","27224000","27684000","28049000","28427000","28814000","28683000","29335000","29674000","30187000","30619000","31128000","31761000","32274000","32627000","32886000","33464000","34013000","34539000","34868000","35105000","35271000","35433000","35595000","35723000","35798000","35991000","35991000","35975000","35987000","35575000","34881000","34335000","34067000","36594000","37835000","38790000","39551000","39559000","39644000","40178000","41045000","41823000","42278000","42628000","43095000","43766000","44371000","44802000","45384000","45833000","46402000","46953000","47451000","47788000","48106000","48435000","48678000",,,,,,,,,,,"49183045","49269574","49333784","49536746","49718187","49868586","50071307","50301685","50583925","50756901","50875639","50957878","51078292","51253425","51360744","51443931","51520274","51591325","51685676","51829962","53666295","53915522","54143915","54334453","54423533","54451230","54522659","54653362","54875926","55133101","55380764","55608318","55782661","55912775","56021339","56052790","56063777","56083383","56084543","56002934","57430477","57243423","57026847"
"        Midwest (People)","26359000","26722000","27126000","27446000","27830000","28203000","28524000","28868000","29187000","29530000","30019000","30385000","30778000","31327000","31914000","32432000","32912000","33245000","32966000","33568000","34373000","35005000","35414000","35971000","36571000","37039000","37461000","37937000","38198000","38447000","38667000","38872000","39053000","39199000","39287000","39454000","39561000","39640000","39735000","39961000","40223000","40334000","40236000","39284000","39006000","38807000","41576000","42597000","43437000","44175000","44632000","45053000","45673000","46436000","47515000","48511000","49309000","49946000","50572000","51124000","51715000","52185000","52583000","53073000","53655000","54225000","54840000","55289000","55692000","56106000",,,,,,,,,,,"58901238","58912038","58784164","58691281","58775281","58819680","58847704","59017675","59254030","59467754","59669320","59765440","60217499","60711099","61572173","61991920","62371519","62675478","62950532","63242284","64491431","64776531","65018293","65276954","65532305","65751872","66028555","66293689","66523935","66748437","66975328","67164092","67348275","67576524","67765576","67885682","68018175","68160342","68263019","68340091","68969794","68850246","68783028"
"        South (People)","24565000","25114000","25599000","26055000","26492000","27003000","27475000","27879000","28406000","28963000","29544000","30025000","30457000","31066000","31670000","32051000","32433000","32776000","32975000","32860000","33357000","33947000","34366000","34837000","35383000","35842000","36374000","36972000","37352000","37626000","37920000","38176000","38456000","38780000","39162000","39516000","39812000","40131000","40636000","41250000","41825000","42623000","43269000","43933000","43002000","42594000","44261000","45041000","45414000","45981000","47347000","48321000","48840000","48927000","49266000","50224000","51151000","52287000","53123000","54077000","55174000","56158000","57179000","58008000","58853000","59579000","60205000","60771000","61489000","62190000",,,,,,,,,,,"75721008","76964608","78302445","79449355","80417379","81408836","82427783","83207732","83890480","84700107","85455793","85731747","86892174","88101757","90573372","91777714","92947197","94176777","95348823","96468455","100565549","101849575","103150787","104380188","105883977","107479771","109076933","110688742","112184930","113548615","114869421","116019483","117264196","118397213","119666248","121049223","122419547","123611036","124649156","125686544","126465281","127353282","128702030"
"        West (People)","4112000","4351000","4620000","4882000","5127000","5398000","5671000","5934000","6234000","6557000","6885000","7118000","7351000","7610000","7852000","8016000","8194000","8432000","8575000","8747000","9059000","9401000","9655000","10014000","10402000","10674000","10942000","11243000","11486000","11683000","11949000","12122000","12225000","12330000","12490000","12686000","12958000","13253000","13463000","13682000","13931000","14178000","14840000","16147000","16543000","17012000","17623000","17973000","18452000","18958000","20331000","20964000","21701000","22548000","23278000","24056000","25001000","25859000","26687000","27563000","28284000","29246000","30142000","30955000","31624000","32205000","32667000","33207000","33696000","34332000",,,,,,,,,,,"43419428","44319388","45244103","46114521","46913936","47826630","48786047","49761931","50770401","51894357","52837499","53091570","54085541","55138551","56820732","57589711","58389582","59340027","60262972","61150112","63439136","64427327","65312198","66116338","66965483","67833726","68751765","69595414","70509175","71341376","72101630","72791588","73482530","74173435","74933166","75751299","76570256","77267367","77841481","78300384","78661381","78602026","78759506"
"    Gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Male (People)","38867000","39649000","40483000","41262000","42089000","42965000","43841000","44682000","45594000","46545000","47554000","48290000","49025000","49957000","50883000","51573000","52234000","52788000","51974000","53103000","54291000","55292000","55886000","56861000","57985000","58813000","59588000","60397000","61101000","61680000","62296517","62725503","63070137","63384009","63726196","64109888","64459383","64789797","65235361","65713339","66352363","66920133","67596729","68545741","69377719","70035073","70631171","71945892","73129684","74335435","75849012","77101263","78372190","79614310","80972704","82363638","83779505","85248426","86605105","87995434","89319511","90739919","92066119","93302933","94517752","95608501","96619711","97563882","98426257","99286946","100353876","101567006","102590732","103506451","104391110","105365965","106308604","107334548","108423580","109583961","110398754","111502912","112579479","113646987","114670252","115729577","116865225","117960907","119085496","120277490","121713764","123416235","125247146","126970600","128597479","130215371","131807484","133473526","135129904","136802873","138443407","139891492","141230559","142428897","143828012","145197078","146647265","148064854","149489951","150807454","152077478","153212980","154397027","155514054","156695810","157906843","159085693","160113445","160960513","161692336","164525109","164722995","165283553"
"        Female (People)","37227000","37935000","38680000","39370000","40077000","40857000","41609000","42326000","43116000","43945000","44853000","45573000","46310000","47268000","48228000","48973000","49727000","50480000","51234000","51411000","52170000","53246000","54163000","55086000","56124000","57016000","57809000","58638000","59408000","60087000","60780224","61314145","61770334","62194754","62647577","63140344","63593797","64035032","64589578","65166379","65770083","66482338","67262824","68193612","69019626","69893092","70757395","72180179","73501618","74852695","76422405","77776626","79180550","80569882","82053150","83567564","85123526","86735704","88276799","89834194","91351647","92951562","94471618","95938865","97371039","98694462","99940627","101148174","102279795","103390000","104698298","106093671","107305289","108402337","109462818","110607234","111726560","112904877","114160965","115471526","116825965","117962696","119085017","120144916","121154531","122194155","123267616","124328116","125413340","126541629","127909050","129564706","131267078","132947988","134528342","136063022","137586800","139173399","140724200","142237295","143719004","145077463","146394634","147679036","148977286","150319521","151732647","153166353","154604015","155964075","157249665","158370501","159480635","160545893","161690519","162832151","163986062","165008683","165877686","166637617","166986403","167308559","168004004"
"    Life stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Minors (0-17) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63683466","63211690","62812665","62566086","62482778","62623913","62865654","63056407","63247010","63456320","64215494","65307843","66501754","67585622","68631532","69464022","70225449","70916437","71428507","71946360","72376189","72671175","72936457","73100758","73297735","73523669","73757714","74019405","74104602","74134167","74122633","73916808","73712974","73591734","73593217","73653720","73699293","73632336","73385501","73088675","73416192","72812036","72450827"
